pop1,pop2,mean_pairwise_IBD_length,lat,long
Algerian,Ossetian,0.971,43.07,44.23
Spanish-Northwest,Turk-Northeast,1.239,41,39.73
Brahmin,Mordvin,1.809,54.49,44.21
Afar,Italian-South,0.438,41.89,14.49
Cossack,Iranian-Central,1.253,31.43,51.07
English-Southeast,Mordvin,5.057,54.49,44.21
Brahmin,Ingush,1.391,43.52,44.58
Algerian,Jew-Ethiopian,0.435,9.03,38.73
English-Southeast,Ingush,2.974,43.52,44.58
Libyan,Yemenite-Highlands,3.085,14.34,44.68
Basque-Spain,Kabardian,1.574,43.45,43.37
French-Southeast,Lithuania-AJ,3.195,54.68,25.32
Jew-Cochin,Kazakh-East,1.13,44,87.46
Kyrgyz-South,Mordvin,2.115,54.49,44.21
Eritrean,Algerian,0.237,36.75,3.04
Libyan,Turk-Northeast,1.285,41,39.73
Jew-Iberian,Sicilian-East,1.627,37.14,15.24
Scot,Karachay,2.879,43.94,42.52
Austria-AJ,Spanish-South,2.577,37.7,-3.55
Sicilian-East,Italian-South,2.281,41.89,14.49
Afar,English-Southeast,0.474,51.19,0.73
Shaigi,Somali,0.085,5.6,48.3
French-Southwest,Ossetian,1.51,43.07,44.23
Kryashen,Karachay,3.23,43.94,42.52
Kyrgyz-South,Ingush,1.504,43.52,44.58
Jew-Iraqi,Portuguese,0.703,39.4,-8.22
Austria-AJ,Yemenite-Northwest,1.378,15.74,44.45
French-Southwest,Jew-Ethiopian,0.158,9.03,38.73
Cossack,Tunisian,1.178,36.82,10.17
Spanish-Northwest,Spanish-Balearic,3.797,39.33,2.37
English-Southwest,Kazakh-West,1.35,51.8,67.16
Eritrean,Sicilian-West,0.801,38.02,12.52
Algerian,Turk-Northwest,1.096,40.4,28.56
French-Southeast,Albanian,2.783,41.32,19.82
Mansi,Belarusian,6.515,53.64,27.47
Spanish-Northwest,Russian-Northwest,3.034,57.59,28.73
Jew-Iberian,Karelian,2.273,60.85,32.14
Netherlands-AJ,Spanish-North,3.308,43.05,-3.35
Brahmin,Ukraine-AJ,1.671,50.43,30.52
Afar,Tuscan,0.351,43.36,11.12
Algerian,Latvia-AJ,1.591,56.95,24.1
Brahmin,Chechen,1.227,43.33,45.65
Cossack,Romania-AJ,3.991,44.43,26.1
Eritrean,Netherlands-AJ,0.295,52.35,4.92
Libyan,Spanish-Balearic,1.484,39.33,2.37
English-Southeast,Chechen,3.343,43.33,45.65
Jew-Cochin,Kazakh-West,0.725,51.8,67.16
English-Southeast,Ukraine-AJ,3.498,50.43,30.52
Basque-Spain,Belarusian,4.171,53.64,27.47
Libyan,Russian-Northwest,1.069,57.59,28.73
French-Southeast,Roman-Iberia,2.445,40.67,-3.14
Austria-AJ,Darginian,1.14,42.18,47.22
Shaigi,Czechia-AJ,1.404,50.08,14.47
Scot,Jordanian,1.461,32.03,35.91
Kyrgyz-South,Ukraine-AJ,1.026,50.43,30.52
Jew-Iberian,Jew-Iraqi,0.929,33.33,44.42
Sicilian-East,Tuscan,2.312,43.36,11.12
French-Southwest,Turk-Northwest,1.359,40.4,28.56
Afar,Mansi,0.132,61.24,66.48
Kryashen,Jordanian,0.988,32.03,35.91
Jew-Iraqi,Spanish-North,0.805,43.05,-3.35
Kyrgyz-South,Chechen,1.282,43.33,45.65
French-Southwest,Latvia-AJ,1.84,56.95,24.1
Austria-AJ,Jew-Bulgarian,34.999,42.68,23.32
Cossack,Jew-Turkish,1.936,41.02,28.95
English-Southwest,Lithuanian,6.179,55,23.93
Spanish-Northwest,Druze,0.935,32.05,35.02
Eritrean,Udmurt,0.196,56.43,52.66
Algerian,Egyptian,1.339,30.69,31.28
Mansi,Basque-France,1.878,43,0
Algerian,Jew-Georgian,0.889,41.72,44.78
French-Southeast,Turk-Northeast,1.438,41,39.73
Afar,Slovenian,0.333,46.15,15
Spanish-Northwest,Latvian,3.444,56.91,24.1
Netherlands-AJ,French-Northeast,2.991,48.76,6.13
Jew-Iberian,Gujarati,0.589,23.2,72.7
Brahmin,Russia-AJ,1.361,55.75,37.62
Brahmin,Kurd,1.198,43.8,40.4
Libyan,Druze,1.83,32.05,35.02
Cossack,BedouinA,0.968,31,35
Eritrean,Afar,3.817,11.8,41.4
Jew-Cochin,Lithuanian,1.152,55,23.93
English-Southeast,Kurd,1.971,43.8,40.4
Shaigi,Lezgin,0.641,42.05,48.1
Austria-AJ,Jew-Kurdish,2.127,36.34,43.15
Libyan,Latvian,1.717,56.91,24.1
French-Southeast,Yemenite-Highlands,1.064,14.34,44.68
English-Southeast,Russia-AJ,3.166,55.75,37.62
Jew-Iberian,French-Southwest,2.846,43.5,-0.72
Scot,Finn,7.923,60.39,24.49
Afar,Spanish-Northwest,0.303,42.5,-8.1
Sicilian-East,Slovenian,2.659,46.15,15
French-Southwest,Egyptian,0.75,30.69,31.28
Kyrgyz-South,Russia-AJ,1.118,55.75,37.62
Kryashen,Finn,12.637,60.39,24.49
Basque-Spain,Basque-France,66.809,43,0
Jew-Iraqi,French-Northeast,1.322,48.76,6.13
Kyrgyz-South,Kurd,0.869,43.8,40.4
French-Southwest,Jew-Georgian,0.972,41.72,44.78
Austria-AJ,Hungary-AJ,95.006,47.5,19.08
Cossack,Syrian,0.873,35.13,36.87
English-Southwest,Balkar,2.26,43.5,43.61
Spanish-Northwest,Adygei,1.419,44.39,39.31
Algerian,Assyrian-Caucasus,0.836,40.21,44.34
Eritrean,Belarus-AJ,0.782,53.9,27.57
Algerian,Komi,0.834,61.87,51.43
Mansi,Croat,4.406,43.63,16.84
Afar,Slovakian,0.312,48.67,19.7
Spanish-Northwest,Gagauz,1.406,45.54,28.38
French-Southeast,Russian-Northwest,4.842,57.59,28.73
Brahmin,Bashkir,1.555,54.32,56.12
Jew-Iberian,Pashtun,0.654,33.49,70.5
Netherlands-AJ,French-Northwest,3.117,48.25,-3.24
Brahmin,Avar,1.35,41.93,47.33
Jew-Cochin,Balkar,1.413,43.5,43.61
Libyan,Adygei,1.354,44.39,39.31
Libyan,Gagauz,1.12,45.54,28.38
English-Southeast,Avar,2.66,41.93,47.33
Shaigi,Kazakh-East,0.347,44,87.46
Eritrean,English-Southeast,1.127,51.19,0.73
Austria-AJ,Jew-Iranian,2.283,35.7,51.42
Cossack,Nogai,3.668,44.82,43.22
French-Southeast,Spanish-Balearic,3.718,39.33,2.37
Afar,English-Southwest,0.135,50.3,-4.9
Jew-Iberian,Jew-Moroccan,18.778,34.02,-6.84
English-Southeast,Bashkir,3.202,54.32,56.12
Scot,Jew-Italian,3.517,41.9,12.48
French-Southwest,Komi,3.045,61.87,51.43
Sicilian-East,Slovakian,3.122,48.67,19.7
Kyrgyz-South,Bashkir,3.785,54.32,56.12
Basque-Spain,Croat,4.153,43.63,16.84
Kryashen,Jew-Italian,2.3,41.9,12.48
French-Southwest,Assyrian-Caucasus,1.233,40.21,44.34
Jew-Iraqi,French-Northwest,0.862,48.25,-3.24
Kyrgyz-South,Avar,1.026,41.93,47.33
Austria-AJ,Georgian,1.717,41.96,42.06
Cossack,Jew-Libyan,1.351,32.92,13.18
Spanish-Northwest,Tajik,1.215,38.41,69.6
English-Southwest,Kabardian,2.81,43.45,43.37
Algerian,Cypriot,0.681,35.13,33.43
Algerian,Azeri,0.855,40.97,47.86
Mansi,Sicilian-West,1.386,38.02,12.52
Afar,Corsican,0.405,42.04,9.01
Eritrean,Sindhi,0.471,25.49,69
Brahmin,Spanish-Catalonia,1.522,41.68,1.66
Spanish-Northwest,Bengali,0.859,23.51,89.9
French-Southeast,Latvian,4.841,56.91,24.1
Jew-Iberian,Chuvash,1.829,55.33,48.74
Netherlands-AJ,Czech,4.592,50.1,14.4
Jew-Cochin,Kabardian,1.122,43.45,43.37
Brahmin,Turk-South,1.548,37,35.32
Shaigi,Kazakh-West,0.26,51.8,67.16
English-Southeast,Turk-South,2.331,37,35.32
Libyan,Tajik,0.816,38.41,69.6
Libyan,Bengali,0.277,23.51,89.9
Eritrean,Mansi,0.89,61.24,66.48
Austria-AJ,Lak,2.163,42.17,47.12
Jew-Iberian,Jew-French,7.092,48.87,2.33
Afar,French-Southeast,0.246,44.01,6.21
French-Southeast,Druze,1.202,32.05,35.02
English-Southeast,Spanish-Catalonia,4.697,41.68,1.66
Cossack,Kyrgyz-North,1.957,43.12,81.15
Scot,Italian-Northwest,4.139,45.05,7.52
French-Southwest,Azeri,1.437,40.97,47.86
Kyrgyz-South,Spanish-Catalonia,1.164,41.68,1.66
Sicilian-East,Corsican,1.998,42.04,9.01
Kryashen,Italian-Northwest,2.735,45.05,7.52
Basque-Spain,Sicilian-West,3.211,38.02,12.52
French-Southwest,Cypriot,1.1,35.13,33.43
Jew-Iraqi,Czech,1.086,50.1,14.4
Kyrgyz-South,Turk-South,1.05,37,35.32
Cossack,Spanish-South,3.269,37.7,-3.55
Austria-AJ,Germany-AJ,126.976,52.52,13.4
Spanish-Northwest,Palestinian,0.957,32.13,35.04
Algerian,Jew-Tunisian,2.066,36.8,10.18
English-Southwest,Belarusian,5.298,53.64,27.47
Afar,Greek-South,0.258,37.9,23.7
Algerian,Armenian,0.949,40.2,44.39
Eritrean,Italian-South,0.54,41.89,14.49
Brahmin,Poland-AJ,1.412,52.25,21
Jew-Iberian,Ossetian,0.848,43.07,44.23
Mansi,Udmurt,18.416,56.43,52.66
Netherlands-AJ,Assyrian-MiddleEast,1.447,37.27,44.21
Spanish-Northwest,French-North,3.227,50.18,2.37
French-Southeast,Gagauz,2.67,45.54,28.38
Libyan,Palestinian,2.455,32.13,35.04
Jew-Cochin,Belarusian,1.774,53.64,27.47
English-Southeast,Karakalpak,2.035,42.48,59.61
Libyan,French-North,1.465,50.18,2.37
Shaigi,Lithuanian,1.3,55,23.93
Brahmin,Karakalpak,0.732,42.48,59.61
Afar,Jew-Cochin,0.339,9.97,76.28
Austria-AJ,Punjabi,0.344,29.89,74.48
Eritrean,Spanish-Northwest,0.635,42.5,-8.1
Cossack,Yemenite-Northwest,1.019,15.74,44.45
Jew-Iberian,Jew-Ethiopian,0.0,9.03,38.73
English-Southeast,Poland-AJ,3.314,52.25,21
French-Southeast,Adygei,2.127,44.39,39.31
French-Southwest,Armenian,1.019,40.2,44.39
Scot,Ukranian-Central,5.649,50.47,30.3
Kyrgyz-South,Poland-AJ,0.916,52.25,21
Sicilian-East,Greek-South,1.477,37.9,23.7
Kryashen,Ukranian-Central,8.54,50.47,30.3
Basque-Spain,Udmurt,3.226,56.43,52.66
French-Southwest,Jew-Tunisian,1.753,36.8,10.18
Jew-Iraqi,Assyrian-MiddleEast,1.324,37.27,44.21
Kyrgyz-South,Karakalpak,4.491,42.48,59.61
Cossack,Darginian,1.938,42.18,47.22
Austria-AJ,Tatar-Volga,1.68,54.19,52.71
Algerian,general-AJ,0.931,52.23,21.02
English-Southwest,Basque-France,4.597,43,0
Spanish-Northwest,Mordvin,2.629,54.49,44.21
Algerian,Pole,1.376,51.98,19.4
Brahmin,Russian-Central,1.908,57.19,38.52
Afar,Estonian,0.321,58.45,25.31
Eritrean,Tuscan,0.709,43.36,11.12
Mansi,Belarus-AJ,2.542,53.9,27.57
Spanish-Northwest,Ingush,1.626,43.52,44.58
Netherlands-AJ,Lebanese-Muslim,1.253,33.89,35.5
Jew-Iberian,Turk-Northwest,1.914,40.4,28.56
Jew-Cochin,Basque-France,1.607,43,0
Libyan,Mordvin,1.016,54.49,44.21
French-Southeast,Bengali,0.787,23.51,89.9
English-Southeast,Turk-Central,1.3,38.73,35.48
Shaigi,Balkar,1.128,43.5,43.61
Libyan,Ingush,0.903,43.52,44.58
Brahmin,Turk-Central,0.759,38.73,35.48
Cossack,Jew-Bulgarian,2.398,42.68,23.32
Jew-Iberian,Latvia-AJ,6.303,56.95,24.1
Afar,Libyan,1.54,32.88,13.19
Eritrean,English-Southwest,0.461,50.3,-4.9
Austria-AJ,Lebanese-Christian,0.792,33.89,35.5
English-Southeast,Russian-Central,5.026,57.19,38.52
French-Southeast,Tajik,1.749,38.41,69.6
French-Southwest,Pole,3.393,51.98,19.4
Kyrgyz-South,Russian-Central,2.089,57.19,38.52
Scot,Tabasaran,2.629,42.05,47.81
Sicilian-East,Estonian,2.696,58.45,25.31
Kryashen,Tabasaran,2.089,42.05,47.81
Basque-Spain,Belarus-AJ,3.082,53.9,27.57
French-Southwest,general-AJ,2.635,52.23,21.02
Jew-Iraqi,Lebanese-Muslim,1.314,33.89,35.5
Kyrgyz-South,Turk-Central,1.136,38.73,35.48
Cossack,Jew-Kurdish,1.479,36.34,43.15
Austria-AJ,Yemenite-Desert,0.768,16.48,50.03
Algerian,Jew-Yemenite,0.86,15.35,44.2
English-Southwest,Croat,4.695,43.63,16.84
Spanish-Northwest,Ukraine-AJ,1.74,50.43,30.52
Algerian,Sardinian,1.44,40,9
Afar,Russian-Arctic,0.312,63.43,45.1
Mansi,Sindhi,1.336,25.49,69
Eritrean,Slovenian,0.782,46.15,15
Spanish-Northwest,Chechen,2.309,43.33,45.65
Netherlands-AJ,Hazara,1.136,33.5,70
Jew-Iberian,Egyptian,1.206,30.69,31.28
Jew-Cochin,Croat,1.33,43.63,16.84
Shaigi,Kabardian,0.886,43.45,43.37
French-Southeast,French-North,3.419,50.18,2.37
Libyan,Ukraine-AJ,1.985,50.43,30.52
English-Southeast,Moroccan,2.267,33.53,-7.58
Cossack,Hungary-AJ,3.714,47.5,19.08
Libyan,Chechen,0.878,43.33,45.65
Brahmin,Moroccan,1.005,33.53,-7.58
Eritrean,French-Southeast,0.532,44.01,6.21
Jew-Iberian,Jew-Georgian,1.075,41.72,44.78
Afar,Basque-Spain,0.38,43.13,-2.08
Austria-AJ,Bulgarian,1.58,42.16,24.74
French-Southeast,Palestinian,1.379,32.13,35.04
French-Southwest,Sardinian,3.081,40,9
Sicilian-East,Russian-Arctic,2.557,63.43,45.1
Scot,Veps,6.27,61.3,35.01
French-Southwest,Jew-Yemenite,1.07,15.35,44.2
Basque-Spain,Sindhi,1.399,25.49,69
Kryashen,Veps,14.817,61.3,35.01
Cossack,Jew-Iranian,1.249,35.7,51.42
Jew-Iraqi,Hazara,0.628,33.5,70
Kyrgyz-South,Moroccan,0.469,33.53,-7.58
Algerian,Uzbek-West,0.851,41.55,60.63
English-Southwest,Sicilian-West,2.515,38.02,12.52
Spanish-Northwest,Russia-AJ,2.318,55.75,37.62
Algerian,Baloch,0.302,30.5,66.5
Shaigi,Cossack,1.294,46.4,37.03
Austria-AJ,Lithuania-AJ,90.638,54.68,25.32
Mansi,Italian-South,1.595,41.89,14.49
Afar,Karelian,0.13,60.85,32.14
Eritrean,Slovakian,1.018,48.67,19.7
